geoestadisticas;db_concordia_catalogo;catalogo;sig_p_no_sepan_leer_ni_escribir;;p_no_sepan_leer_ni_escribir;Población no sabe leer ni escribir 2010 (%);orden:24,población,educacion,actividad;;4326;gid;;;;"Sabe leer y escribir (P1707): ";;
geoestadisticas;db_concordia_catalogo;catalogo;sig_p_cursa_o_curso_nivel_educativo;;p_cursa_o_curso_nivel_educativo;Población que no cursó ningún nivel educativo año 2010 (%);orden:25,población,educacion,actividad;;4326;gid;;;;Nivel educativo que cursa o cursó (P1909):;;
geoestadisticas;db_concordia_catalogo;catalogo;sig_p_asistencia_nivel_educativo;;p_asistencia_nivel_educativo;Población que nunca asistió a un establecimiento educativo (%);orden:26,población,educacion,actividad;;4326;gid;;;;Condición de asistencia escolar (P1808):;;
geoestadisticas;db_concordia_catalogo;catalogo;sig_p_nivel_educativo;;p_nivel_educativo;Población según nivel educativo que cursa o cursó año 2010 (%);orden:27,población,educacion,actividad;;4326;gid;;;;Máximo nivel de instrucción (MNI):;;
geoestadisticas;db_concordia_catalogo;catalogo;sig_p_utilizacion_computadora;;p_utilizacion_computadora;Población que no utiliza computadora año 2010 (%);orden:28,población,educacion,actividad;;4326;gid;;;;Utilización de computadora (P2212):;;
geoestadisticas;db_concordia_catalogo;catalogo;sig_v_tipos_viviendas_agrupadas;;v_tipos_viviendas_agrupadas;Viviendas de tipo particular 2010 (%);orden:29,hogar,vivienda,casa;;4326;gid;;;;Tipo de vivienda agrupada (TIPVV), establece si la vivienda es particular o colectiva:;;
geoestadisticas;db_concordia_catalogo;catalogo;sig_v_tipos_viviendas_particulares;;v_tipos_viviendas_particulares;Viviendas particulares de tipo casilla 2010 (%);orden:30,hogar,vivienda,casa,casilla;;4326;gid;;;;Tipo de vivienda particular (V01), considera las siguientes categorías:;;
geoestadisticas;db_concordia_catalogo;catalogo;sig_v_tipos_viviendas_colectivas;;v_tipos_viviendas_colectivas;Viviendas colectivas de tipo hogares de ancianos 2010 (%);orden:31,hogar,vivienda,casa;;4326;gid;;;;Tipos de viviendas colectivas (V00):;;
geoestadisticas;db_concordia_catalogo;catalogo;sig_v_calidad_constructiva_viviendas_particulares_habitadas;;v_calidad_constructiva_viviendas_particulares_habitadas;Viviendas particulares con calidad constructiva insuficiente 2010 (%);orden:32,hogar,vivienda,casa,construccion;;4326;gid;;;;Calidad constructiva de la vivienda (INCALCONS): refiere a la calidad de los materiales con que están construidas las viviendas (piso, techo y cielorraso). Se consideran las siguientes categorías:;;
geoestadisticas;db_concordia_catalogo;catalogo;sig_v_calidad_conexiones_servicios_basicos;;v_calidad_conexiones_servicios_basicos;Viviendas con conexiones a servicios básicos de calidad satisfatoria 2010 (%);orden:33,hogar,vivienda,casa,construccion;;4326;gid;;;;"Calidad de conexiones a servicios básicos (INCALSERV): refiere al tipo de instalaciones con que cuentan los hogares para su saneamiento (agua, baño y desagüe). ";;
